Organization,Vote 2021-22 / Statutory - Description,2017-18 - Total budgetary authority available for use,2017-18 - Expenditures,2018-19 - Total budgetary authority available for use,2018-19 - Expenditures,2019-20 - Total budgetary authority available for use,2019-20 - Expenditures,2020-21 - Total budgetary authority available for use,2020-21 - Expenditures,2021-22 - Total budgetary authority available for use,2021-22 - Expenditures
Veterans Affairs Canada,Grants & Contributions - 5,3867796000,3814604720,3692225001,3655818666,3957213575,3648775941,4155647628,3667732300,4950322847,4194785237
Veterans Affairs Canada,Budget Implementation Vote - 10,0,0,0,0,30000000,0,0,0,0,0
Veterans Affairs Canada,Budget Implementation Vote - 15,0,0,0,0,30000,0,0,0,0,0
Veterans Affairs Canada,Budget Implementation Vote - 20,0,0,0,0,0,0,0,0,0,0
Veterans Affairs Canada,Budget Implementation Vote - 25,0,0,0,0,0,0,0,0,0,0
Veterans Affairs Canada,Budget Implementation Vote - 30,0,0,0,0,141143,0,0,0,0,0
Veterans Affairs Canada,Budget Implementation Vote - 35,0,0,0,0,1664894,0,0,0,0,0
Veterans Affairs Canada,Contributions to employee benefit plans,32450710,32450709.52,32862854,32862854,36546389,36546389,45024888,45024888,42316312,42316312
Veterans Affairs Canada,Court Awards,7121,7120.87,10890,10890,17550,17550,1162,1162,8560,8560
Veterans Affairs Canada,Losses on Foreign Exchange,0,0,2028,2028,0,0,483,483,2709,2709
Veterans Affairs Canada,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,19999420,19999420,0,0
Veterans Affairs Canada,Re-establishment credits under section 8 of the War Service Grants Act,0,0,0,0,0,0,0,0,0,0
Veterans Affairs Canada,Refunds of amounts credited to revenues in previous years,4766,4767.29,1859,1859,2433,2433,19393963,19393963,0,0
Veterans Affairs Canada,Repayments under section 15 of the War Service Grants Act of compensating adjustments made in accordance with the terms of the Veterans' Land Act,0,0,0,0,0,0,0,0,0,0
Veterans Affairs Canada,Returned Soldiers Insurance Actuarial Liability Adjustment,766,766,772,772,1780,1780,0,0,607,607
Veterans Affairs Canada,Salary and Motor Car Allowance,84600,84600,74738,74738,87500,87500,89200,89200,90700,90700
Veterans Affairs Canada,Spending of proceeds from the disposal of surplus Crown assets,9380,9379.95,5255,5255,24866,24866,32491,491,46102,36420
Veterans Affairs Canada,Veterans Insurance Actuarial Liability Adjustment,65017,65017,45663,45663,2572,2572,33549,33549,0,0
VIA Rail Canada Inc.,Payments to Crown Corps - 1,456402731,357536154,644870998,496246801,732794011,506347644,1016389568,651558580,900018544,628856038
Veterans Review and Appeal Board,Operating/Program - 1,10102793,9734537,10170713,8816668,10068877,9531712,10668899,9255187,10381651,9811517
Veterans Review and Appeal Board,Contributions to employee benefit plans,1117832,1117832.45,1089432,1089432,1164706,1164706,1250493,1250493,1292444,1292444
Windsor-Detroit Bridge Authority,Payments to Crown Corps - 1,317817400,184000000,479598047,330500000,831733625,570550000,778634323,440674062,971574541,481287738
Prairies Economic Development Canada,Operating/Program - 1,38617715,37029259,40027059,38829622,44588627,43546431,52974033,47239007,53654075,45963645
Prairies Economic Development Canada,Grants & Contributions - 5,189690082,186283470,199763274,199727274,266443500,261119937,526561434,382482600,479914586,380798549
Prairies Economic Development Canada,Budget Implementation Vote - 10,0,0,0,0,42752,0,0,0,0,0
Prairies Economic Development Canada,Budget Implementation Vote - 15,0,0,0,0,0,0,0,0,0,0
Prairies Economic Development Canada,Budget Implementation Vote - 20,0,0,0,0,0,0,0,0,0,0
Prairies Economic Development Canada,Budget Implementation Vote - 25,0,0,0,0,1026058,0,0,0,0,0
Prairies Economic Development Canada,Collection Agency Fees,0,0,0,0,0,0,0,0,3316,3316
Prairies Economic Development Canada,Contributions to employee benefit plans,3739442,3739442.37,3798669,3798669,4413622,4413622,5381397,5381397,5087300,5087300
Prairies Economic Development Canada,"Payments for the Community Futures Network pursuant to the Economic Statement Implementation Act, 2020",0,0,0,0,0,0,0,0,0,0
Prairies Economic Development Canada,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,472394942,472394942,0,0
Prairies Economic Development Canada,"Payments to provide financing support to small and medium-sized businesses pursuant to the Economic Statement Implementation Act, 2020",0,0,0,0,0,0,0,0,0,0
Prairies Economic Development Canada,Spending of proceeds from the disposal of surplus Crown assets,15948,15948.33,11976,11976,446,439,7,0,1110,1110
